,fit_time,score_time,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_f1_macro,train_f1_macro,test_accuracy,train_accuracy
custom_preliminary_100k.csv,763.2358386516571,0.4378217697143555,0.49864249754512074,0.7422965155639313,0.4574809748890993,0.6603708057735859,0.46515005325152714,0.6799498127254733,0.6604421186081175,0.7941122038998026
meta_prod2vec_all.csv,207.45198392868042,0.2781996726989746,0.36374693495727983,0.6763100341941605,0.3466342910915093,0.6188098112022886,0.35162332661321494,0.6392356586728468,0.5447488727985171,0.727798746105786
minilm_100k.csv,134.86534781455993,0.3168004512786865,0.7472280656059292,0.966820254226095,0.7202519620502168,0.9435715339997008,0.7271365382793671,0.9507479487257156,0.8214235886107039,0.9357082473431062
mpnet_100k.csv,223.80145034790038,0.3982836246490479,0.7841801424729675,0.9725343467316907,0.7515294972582022,0.9480186193589223,0.76177745510474,0.9559073272505675,0.8404986236971499,0.9382294986152461
nlp_model_batch3_epoch10_sample1500_100k.csv,740.0783233165741,0.3948000431060791,0.16120646164478578,0.5991061548618427,0.15943502741230955,0.49661718590910714,0.15789793531379306,0.519297480860101,0.33330993034523476,0.7132658418594021
onehot_all.csv,181.09515562057496,0.26399984359741213,0.607034633058263,0.7320113794680613,0.5711950289364666,0.6745186757298735,0.5801264763223409,0.6922005165187939,0.7654211571959786,0.829842117369053
prod2vec_all.csv,216.60910782814025,0.3106060028076172,0.6117852211998795,0.911139134808486,0.592258956814983,0.8789111241004596,0.595658478267549,0.8888536243555357,0.7532837919260895,0.9056989355292228
roberta_100k.csv,398.6623429775238,0.4330004692077637,0.7786983928681089,0.9730144846803281,0.752479384150656,0.9500992231454941,0.7594644053439217,0.9569961901522843,0.8400264981276171,0.9392314766281314
t5_100k.csv,549.4705605983734,0.42021880149841306,0.7477460147157993,0.9644831625844412,0.7278688837852582,0.9437407130343256,0.7314825212138283,0.9494263360814559,0.8266668891534683,0.9357434212886574
TFIDF_all.csv,1055.6615993499756,0.49240660667419434,0.6527439507743097,0.9578861431399934,0.6092274920175165,0.9064951995486303,0.6214150210385105,0.9252308389478878,0.757771167993446,0.9157753067486352
